edr_chave,ano,janela,ndvi,n_cenas
FRANCA,2022,florada,0.3828,3
FRANCA,2022,enchimento,0.7185,3
FRANCA,2023,florada,0.4593,3
FRANCA,2023,enchimento,0.7594,3
FRANCA,2024,florada,0.6552,3
FRANCA,2024,enchimento,0.7408,3
FRANCA,2025,florada,0.5013,3
FRANCA,2025,enchimento,0.7475,3
FRANCA,2026,florada,0.6003,3
FRANCA,2026,enchimento,0.7625,3
ITAPETININGA,2017,florada,,0
ITAPETININGA,2017,enchimento,0.56,1
ITAPETININGA,2018,florada,0.5981,3
ITAPETININGA,2018,enchimento,0.8002,3
ITAPETININGA,2019,florada,0.7307,3
ITAPETININGA,2019,enchimento,0.7382,3
ITAPETININGA,2020,florada,0.6196,3
ITAPETININGA,2020,enchimento,0.79,3
ITAPETININGA,2021,florada,0.6845,3
ITAPETININGA,2021,enchimento,0.797,3
ITAPETININGA,2022,florada,0.6448,3
ITAPETININGA,2022,enchimento,0.7664,3
ITAPETININGA,2023,florada,0.7363,3
ITAPETININGA,2023,enchimento,0.7586,3
ITAPETININGA,2024,florada,0.6815,3
ITAPETININGA,2024,enchimento,0.6307,3
ITAPETININGA,2025,florada,0.6421,3
ITAPETININGA,2025,enchimento,0.8099,3
ITAPETININGA,2026,florada,0.7024,3
ITAPETININGA,2026,enchimento,0.7231,3
ITAPEVA,2017,florada,,0
ITAPEVA,2017,enchimento,0.6807,1
ITAPEVA,2018,florada,0.535,3
ITAPEVA,2018,enchimento,0.7118,3
ITAPEVA,2019,florada,0.5992,3
ITAPEVA,2019,enchimento,0.7139,3
ITAPEVA,2020,florada,0.5341,3
ITAPEVA,2020,enchimento,0.682,3
ITAPEVA,2021,florada,0.5556,3
ITAPEVA,2021,enchimento,0.6735,3
ITAPEVA,2022,florada,0.5633,3
ITAPEVA,2022,enchimento,0.7004,3
ITAPEVA,2023,florada,0.5846,3
ITAPEVA,2023,enchimento,0.7067,3
ITAPEVA,2024,florada,0.5858,3
ITAPEVA,2024,enchimento,0.7058,3
ITAPEVA,2025,florada,0.5559,3
ITAPEVA,2025,enchimento,0.7061,3
ITAPEVA,2026,florada,0.5692,3
ITAPEVA,2026,enchimento,0.6728,3
