edr_chave,edr,ano,alvo,rendimento_a1,rendimento_a2,capacidade,previsto
ARACATUBA,Araçatuba,1995,2169.4,1677.7,2202.3,4960.0,2133.245866430919
ASSIS,Assis,1995,2996.9,1786.6,2645.0,153650.0,2424.9874111391287
AVARE,Avaré,1995,2283.4,2104.0,2057.6,11915.0,2063.9020840899943
BARRETOS,Barretos,1995,2149.8,2143.4,1805.9,35460.0,2068.0767246161445
BOTUCATU,Botucatu,1995,1850.0,1606.7,1650.0,1200.0,1674.772891545013
CAMPINAS,Campinas,1995,4345.6,5664.0,4545.9,2205.0,4845.311956150619
FERNANDOPOLIS,Fernandópolis,1995,1683.8,1139.5,1743.4,1420.0,1860.6848006189061
FRANCA,Franca,1995,2354.5,2144.0,2381.6,11470.0,2379.794405217254
GENERAL SALGADO,General Salgado,1995,1934.0,2197.1,2807.7,1923.0,2424.7087694456773
ITAPETININGA,Itapetininga,1995,1898.5,2011.8,2312.2,2072.0,2173.805836455111
ITAPEVA,Itapeva,1995,2432.1,2447.2,2803.1,7480.0,2483.6644129151427
LIMEIRA,Limeira,1995,2763.9,2600.5,2086.3,1550.0,2453.5640477325123
MOGI MIRIM,Mogi Mirim,1995,2891.0,2134.0,2192.3,1420.0,2163.084977156285
ORLANDIA,Orlândia,1995,2480.3,1776.5,1989.5,102126.0,2124.583242635964
OURINHOS,Ourinhos,1995,2703.4,1042.1,2091.9,7120.0,1990.708845284413
PRESIDENTE PRUDENTE,Presidente Prudente,1995,2151.5,1391.5,1833.6,6880.0,1782.577685706156
PRESIDENTE VENCESLAU,Presidente Venceslau,1995,1737.1,1909.1,1800.0,458.0,2057.9616879065165
SOROCABA,Sorocaba,1995,2504.0,2123.1,2314.3,3310.0,2367.663304995797
SAO JOSE DO RIO PRETO,São José do Rio Preto,1995,1574.8,2043.3,1815.0,2325.0,2081.8200874697422
SAO JOAO DA BOA VISTA,São João da Boa Vista,1995,2498.8,2246.8,1894.1,647.0,2153.8053274584363
ANDRADINA,Andradina,1996,3078.3,3213.7,2528.3,920.0,3047.5950227597714
ARARAQUARA,Araraquara,1996,2429.8,2290.2,2361.5,1210.0,2257.2104640605125
ARACATUBA,Araçatuba,1996,2666.1,2169.4,1677.7,6545.0,1512.2880871416924
ASSIS,Assis,1996,2027.9,2996.9,1786.6,146664.0,2280.5094725672116
AVARE,Avaré,1996,2181.8,2283.4,2104.0,11080.0,2543.3268175280896
BARRETOS,Barretos,1996,2456.1,2149.8,2143.4,34799.0,2224.555787409956
BOTUCATU,Botucatu,1996,1852.2,1850.0,1606.7,1150.0,1775.8735422273119
CAMPINAS,Campinas,1996,5732.9,4345.6,5664.0,1095.0,4162.282921245422
FERNANDOPOLIS,Fernandópolis,1996,1939.6,1683.8,1139.5,1010.0,1736.742388598443
FRANCA,Franca,1996,2625.0,2354.5,2144.0,11400.0,2481.360742803494
GENERAL SALGADO,General Salgado,1996,2557.1,1934.0,2197.1,1726.0,2466.758293974297
ITAPETININGA,Itapetininga,1996,2094.5,1898.5,2011.8,1642.0,2260.695174355996
ITAPEVA,Itapeva,1996,2454.5,2432.1,2447.2,4400.0,2358.136144899234
LIMEIRA,Limeira,1996,2424.6,2763.9,2600.5,731.0,2691.271396174515
MOGI MIRIM,Mogi Mirim,1996,2934.4,2891.0,2134.0,1830.0,2509.6794590480285
ORLANDIA,Orlândia,1996,2381.3,2480.3,1776.5,107748.0,2191.7427119350773
OURINHOS,Ourinhos,1996,1160.9,2703.4,1042.1,9210.0,2155.1938278299613
PRESIDENTE PRUDENTE,Presidente Prudente,1996,2416.0,2151.5,1391.5,4610.0,1636.8415200624256
PRESIDENTE VENCESLAU,Presidente Venceslau,1996,2190.0,1737.1,1909.1,800.0,1914.2482299493936
SOROCABA,Sorocaba,1996,2307.2,2504.0,2123.1,3370.0,2420.6653174232983
SAO JOSE DO RIO PRETO,São José do Rio Preto,1996,1940.9,1574.8,2043.3,1714.0,2072.4962529540567
SAO JOAO DA BOA VISTA,São João da Boa Vista,1996,2773.9,2498.8,2246.8,1765.0,2354.602339805434
ANDRADINA,Andradina,1997,2898.9,3078.3,3213.7,1430.0,2675.041572533416
ARARAQUARA,Araraquara,1997,2110.2,2429.8,2290.2,679.0,2483.2608332192453
ARACATUBA,Araçatuba,1997,2857.6,2666.1,2169.4,6018.0,2840.466252310059
ASSIS,Assis,1997,2244.5,2027.9,2996.9,147630.0,2952.7691376358684
AVARE,Avaré,1997,2300.6,2181.8,2283.4,6550.0,2769.860299628677
BARRETOS,Barretos,1997,1446.8,2456.1,2149.8,38447.0,2443.2086785185033
BOTUCATU,Botucatu,1997,1757.2,1852.2,1850.0,1284.0,2057.8896792339515
CAMPINAS,Campinas,1997,2834.3,5732.9,4345.6,335.0,4718.624862614657
FERNANDOPOLIS,Fernandópolis,1997,1668.9,1939.6,1683.8,1510.0,1816.3176084546874
FRANCA,Franca,1997,1643.2,2625.0,2354.5,11875.0,2821.98163361418
GENERAL SALGADO,General Salgado,1997,2902.5,2557.1,1934.0,2800.0,2645.720212799476
ITAPETININGA,Itapetininga,1997,2248.9,2094.5,1898.5,2321.0,2109.73354243054
ITAPEVA,Itapeva,1997,2627.7,2454.5,2432.1,5770.0,2754.4621551362766
LIMEIRA,Limeira,1997,3244.6,2424.6,2763.9,1300.0,2488.223486751243
MOGI MIRIM,Mogi Mirim,1997,2948.5,2934.4,2891.0,2471.0,2763.57482818215
ORLANDIA,Orlândia,1997,1301.6,2381.3,2480.3,94591.0,2457.713208282195
OURINHOS,Ourinhos,1997,2600.1,1160.9,2703.4,9806.0,1680.0927767688602
PRESIDENTE PRUDENTE,Presidente Prudente,1997,2435.9,2416.0,2151.5,6210.0,2186.5253920228383
PRESIDENTE VENCESLAU,Presidente Venceslau,1997,1835.1,2190.0,1737.1,770.0,2243.8324582963096
SOROCABA,Sorocaba,1997,2312.5,2307.2,2504.0,3120.0,2501.635386719609
SAO JOSE DO RIO PRETO,São José do Rio Preto,1997,1964.5,1940.9,1574.8,1796.0,1583.179140304644
SAO JOAO DA BOA VISTA,São João da Boa Vista,1997,2902.6,2773.9,2498.8,5730.0,3044.6362525120517
ANDRADINA,Andradina,1998,2759.4,2898.9,3078.3,2458.0,2700.463321836213
ARARAQUARA,Araraquara,1998,2421.7,2110.2,2429.8,1463.0,2524.570004030847
ARACATUBA,Araçatuba,1998,2999.8,2857.6,2666.1,11780.0,2640.5029158503917
ASSIS,Assis,1998,3723.0,2244.5,2027.9,154347.0,1837.953426116379
AVARE,Avaré,1998,2901.5,2300.6,2181.8,10050.0,2305.345680936276
BARRETOS,Barretos,1998,2489.3,1446.8,2456.1,40767.0,2537.3505679509003
BOTUCATU,Botucatu,1998,2218.9,1757.2,1852.2,913.0,1845.6871788479266
CAMPINAS,Campinas,1998,4998.1,2834.3,5732.9,1866.0,3379.1026068041847
FERNANDOPOLIS,Fernandópolis,1998,1905.7,1668.9,1939.6,1762.0,1903.2715852560261
FRANCA,Franca,1998,2674.5,1643.2,2625.0,10590.0,2694.899384568832
GENERAL SALGADO,General Salgado,1998,2726.8,2902.5,2557.1,3995.0,2672.508514222663
ITAPETININGA,Itapetininga,1998,2881.5,2248.9,2094.5,2619.0,2186.93868856327
ITAPEVA,Itapeva,1998,3595.2,2627.7,2454.5,5650.0,2519.3642713788918
LIMEIRA,Limeira,1998,3472.6,3244.6,2424.6,1130.0,3177.6264897027504
MOGI MIRIM,Mogi Mirim,1998,3027.7,2948.5,2934.4,3250.0,2772.818683250975
ORLANDIA,Orlândia,1998,2249.8,1301.6,2381.3,82704.0,2476.5418891107765
