edr_chave,edr,ano,alvo,rendimento_a1,rendimento_a2,capacidade,previsto
OURINHOS,Ourinhos,2005,722.7,1004.3,779.7,20971.0,1081.0842322787914
RIBEIRAO PRETO,Ribeirão Preto,2005,993.1,994.9,881.6,4217.73,973.0541535058308
SAO JOAO DA BOA VISTA,São João da Boa Vista,2005,840.2,1155.4,681.3,42994.7,879.7238068020662
TUPA,Tupã,2005,438.2,550.8,471.3,6523.5,697.4857301943729
ARARAQUARA,Araraquara,2006,1363.2,978.0,1013.9,2892.5,1071.3918799910923
AVARE,Avaré,2006,861.9,738.7,898.2,7737.0,913.81145154054
BAURU,Bauru,2006,808.7,738.8,744.9,4952.7,849.7655799972522
BOTUCATU,Botucatu,2006,1245.8,1111.5,1131.7,4099.0,1137.2962702140921
BRAGANCA PAULISTA,Bragança Paulista,2006,1499.4,1418.5,1360.0,9605.5,1437.8019872396314
DRACENA,Dracena,2006,1009.7,579.6,699.9,6513.0,707.8576601534684
FRANCA,Franca,2006,1963.1,1260.2,1560.4,42711.5,1558.3740545087003
JAU,Jaú,2006,1365.0,879.7,1439.0,7124.0,1452.76636003417
LINS,Lins,2006,690.1,573.3,580.3,3956.8,751.029947082362
MARILIA,Marília,2006,1204.0,577.5,892.5,24623.6,916.9953841101023
MOGI MIRIM,Mogi Mirim,2006,1429.8,1236.6,1182.1,3217.0,1115.2527297422214
ORLANDIA,Orlândia,2006,1500.6,1570.4,1341.4,2117.6,1601.2789744598545
OURINHOS,Ourinhos,2006,1126.4,722.7,1004.3,18530.0,887.6723305680953
RIBEIRAO PRETO,Ribeirão Preto,2006,1036.4,993.1,994.9,4761.53,960.8055492426788
SAO JOAO DA BOA VISTA,São João da Boa Vista,2006,1214.1,840.2,1155.4,42531.7,1284.3502325201239
TUPA,Tupã,2006,736.3,438.2,550.8,7033.5,684.864448138238
ARARAQUARA,Araraquara,2007,784.1,1363.2,978.0,2922.5,1210.2590983944174
AVARE,Avaré,2007,811.5,861.9,738.7,7835.0,904.2324396331288
BAURU,Bauru,2007,819.0,808.7,738.8,4355.7,731.7196365047166
BOTUCATU,Botucatu,2007,1214.3,1245.8,1111.5,4360.0,1278.74932636029
BRAGANCA PAULISTA,Bragança Paulista,2007,1447.4,1499.4,1418.5,9783.5,1461.4495869562238
DRACENA,Dracena,2007,589.8,1009.7,579.6,6380.0,784.2214422662503
FRANCA,Franca,2007,906.2,1963.1,1260.2,44207.0,1315.3686484811533
JAU,Jaú,2007,916.2,1365.0,879.7,6169.0,1015.0538957847749
LINS,Lins,2007,567.1,690.1,573.3,3612.4,671.8840525452055
MARILIA,Marília,2007,458.8,1204.0,577.5,25033.6,984.1772658032048
MOGI MIRIM,Mogi Mirim,2007,596.8,1429.8,1236.6,3164.0,1126.6369829860646
ORLANDIA,Orlândia,2007,1256.9,1500.6,1570.4,2117.6,1484.576217639208
OURINHOS,Ourinhos,2007,894.1,1126.4,722.7,18873.0,1047.9860117427227
RIBEIRAO PRETO,Ribeirão Preto,2007,1010.6,1036.4,993.1,4734.63,983.1896131811765
SAO JOAO DA BOA VISTA,São João da Boa Vista,2007,946.8,1214.1,840.2,41791.7,1073.7269129048163
TUPA,Tupã,2007,432.1,736.3,438.2,6383.5,589.5730397371627
ARARAQUARA,Araraquara,2008,1249.5,784.1,1363.2,2557.5,1197.7449121127336
AVARE,Avaré,2008,723.3,811.5,861.9,7385.0,798.6882536259999
BAURU,Bauru,2008,803.7,819.0,808.7,3836.7,785.5011509294119
BOTUCATU,Botucatu,2008,1248.7,1214.3,1245.8,4132.5,1363.523432500892
BRAGANCA PAULISTA,Bragança Paulista,2008,1194.1,1447.4,1499.4,10668.5,1486.2385020847291
DRACENA,Dracena,2008,604.4,589.8,1009.7,5192.5,806.3584495129556
FRANCA,Franca,2008,1901.9,906.2,1963.1,46454.0,2307.508274302623
JAU,Jaú,2008,1285.5,916.2,1365.0,5938.0,1432.2519749291473
LINS,Lins,2008,1155.0,567.1,690.1,2883.5,766.2803770844698
MARILIA,Marília,2008,1364.6,458.8,1204.0,24405.9,1320.3714329077222
MOGI MIRIM,Mogi Mirim,2008,1052.3,596.8,1429.8,2640.0,1199.859761449202
ORLANDIA,Orlândia,2008,1568.5,1256.9,1500.6,1694.1,1310.6024160175136
OURINHOS,Ourinhos,2008,1205.0,894.1,1126.4,17836.0,938.2301022472008
RIBEIRAO PRETO,Ribeirão Preto,2008,1357.2,1010.6,1036.4,5413.8,1141.6015225882425
SAO JOAO DA BOA VISTA,São João da Boa Vista,2008,1229.1,946.8,1214.1,40388.8,1339.9130833162496
TUPA,Tupã,2008,492.0,432.1,736.3,6381.7,709.0080294932931
ARARAQUARA,Araraquara,2009,1628.1,1249.5,784.1,2319.9,942.711870236387
AVARE,Avaré,2009,894.1,723.3,811.5,8328.0,738.0617773129486
BAURU,Bauru,2009,801.6,803.7,819.0,3886.2,812.562404061247
BOTUCATU,Botucatu,2009,1221.7,1248.7,1214.3,4368.6,1349.7726309329732
BRAGANCA PAULISTA,Bragança Paulista,2009,1326.0,1194.1,1447.4,10300.9,1366.7961454663982
DRACENA,Dracena,2009,846.5,604.4,589.8,5240.0,665.3209707329905
FRANCA,Franca,2009,1113.0,1901.9,906.2,46482.6,937.3031634362521
JAU,Jaú,2009,1378.8,1285.5,916.2,5689.0,938.1425855591408
LINS,Lins,2009,984.9,1155.0,567.1,2711.9,675.5339474171597
MARILIA,Marília,2009,1172.8,1364.6,458.8,26063.9,511.27098447454205
MOGI MIRIM,Mogi Mirim,2009,992.6,1052.3,596.8,3240.0,886.0753573417898
ORLANDIA,Orlândia,2009,1703.8,1568.5,1256.9,1820.4,1266.689040394162
OURINHOS,Ourinhos,2009,1251.1,1205.0,894.1,17571.0,972.2287777411688
RIBEIRAO PRETO,Ribeirão Preto,2009,1540.9,1357.2,1010.6,5641.3,1041.7790888712111
SAO JOAO DA BOA VISTA,São João da Boa Vista,2009,903.7,1229.1,946.8,43586.3,999.4407573820416
TUPA,Tupã,2009,527.5,492.0,432.1,7428.7,509.0263804781994
ARARAQUARA,Araraquara,2010,978.1,1628.1,1249.5,2404.6,1334.7900506069277
AVARE,Avaré,2010,880.0,894.1,723.3,7953.0,925.2228522110988
BAURU,Bauru,2010,1063.1,801.6,803.7,1832.3,933.1071467805972
BOTUCATU,Botucatu,2010,1372.9,1221.7,1248.7,4336.72,1285.2527144624594
BRAGANCA PAULISTA,Bragança Paulista,2010,1418.9,1326.0,1194.1,10253.6,1416.3979993508747
DRACENA,Dracena,2010,896.7,846.5,604.4,5045.1,713.333029584279
FRANCA,Franca,2010,1873.2,1113.0,1901.9,49268.2,2044.362540601805
JAU,Jaú,2010,1416.9,1378.8,1285.5,6434.0,1430.7392786139226
LINS,Lins,2010,1451.9,984.9,1155.0,2279.1,1047.526376249971
MARILIA,Marília,2010,1433.9,1172.8,1364.6,25125.9,1317.918913065447
MOGI MIRIM,Mogi Mirim,2010,990.8,992.6,1052.3,3083.0,1147.6210874971403
ORLANDIA,Orlândia,2010,1754.3,1703.8,1568.5,1970.8,1557.3579064845455
OURINHOS,Ourinhos,2010,1271.8,1251.1,1205.0,17224.0,1332.147425323025
RIBEIRAO PRETO,Ribeirão Preto,2010,1576.8,1540.9,1357.2,5703.2,1335.1631873980623
SAO JOAO DA BOA VISTA,São João da Boa Vista,2010,1364.2,903.7,1229.1,44564.7,1267.4691011064099
TUPA,Tupã,2010,592.9,527.5,492.0,7226.7,732.7179998417911
ARARAQUARA,Araraquara,2011,1045.0,978.1,1628.1,2379.0,1163.3415855332823
AVARE,Avaré,2011,1085.6,880.0,894.1,8385.0,927.7293561452955
BAURU,Bauru,2011,967.2,1063.1,801.6,1528.5,964.65158001986
BOTUCATU,Botucatu,2011,1531.4,1372.9,1221.7,4367.72,1379.4610217470868
BRAGANCA PAULISTA,Bragança Paulista,2011,1579.5,1418.9,1326.0,10454.6,1393.6186113007666
DRACENA,Dracena,2011,837.2,896.7,846.5,4928.0,811.5709063662478
FRANCA,Franca,2011,875.2,1873.2,1113.0,50661.2,1124.3057354880748
JAU,Jaú,2011,1302.9,1416.9,1378.8,6565.0,1392.9484011330778
LINS,Lins,2011,1194.7,1451.9,984.9,2398.5,945.9452535086061
MARILIA,Marília,2011,1354.3,1433.9,1172.8,24936.0,1405.7447407525435
MOGI MIRIM,Mogi Mirim,2011,698.9,990.8,992.6,3083.0,1132.9079131535207
ORLANDIA,Orlândia,2011,1601.7,1754.3,1703.8,1900.8,1539.3719602310568
OURINHOS,Ourinhos,2011,1321.6,1271.8,1251.1,17945.0,1378.2921531855357
RIBEIRAO PRETO,Ribeirão Preto,2011,1538.3,1576.8,1540.9,5206.2,1291.6116070058
SAO JOAO DA BOA VISTA,São João da Boa Vista,2011,1173.4,1364.2,903.7,43525.0,1017.1142370465125
TUPA,Tupã,2011,636.0,592.9,527.5,7273.7,617.922761228473
ARARAQUARA,Araraquara,2012,963.0,1045.0,978.1,2246.0,1122.7580709626423
AVARE,Avaré,2012,1040.7,1085.6,880.0,7757.5,960.9060128205077
BAURU,Bauru,2012,953.0,967.2,1063.1,1673.2,936.5925754822755
BOTUCATU,Botucatu,2012,1450.2,1531.4,1372.9,4288.72,1464.4054795055254
BRAGANCA PAULISTA,Bragança Paulista,2012,1582.3,1579.5,1418.9,10156.1,1492.7730340714895
DRACENA,Dracena,2012,731.8,837.2,896.7,4865.0,816.7624066084966
FRANCA,Franca,2012,1958.2,875.2,1873.2,52104.2,1635.0183457235735
JAU,Jaú,2012,1702.4,1302.9,1416.9,7165.0,1305.729112767077
LINS,Lins,2012,1165.9,1194.7,1451.9,2327.0,1124.9110993684571
MARILIA,Marília,2012,1541.0,1354.3,1433.9,25462.0,1291.6566882555744
MOGI MIRIM,Mogi Mirim,2012,693.9,698.9,990.8,3085.0,893.0698273196831
ORLANDIA,Orlândia,2012,1819.0,1601.7,1754.3,2127.0,1709.016942241982
OURINHOS,Ourinhos,2012,1438.1,1321.6,1271.8,17932.0,1345.700597506579
RIBEIRAO PRETO,Ribeirão Preto,2012,1647.6,1538.3,1576.8,5021.4,1433.7122634641287
SAO JOAO DA BOA VISTA,São João da Boa Vista,2012,1598.1,1173.4,1364.2,44060.5,1316.5191762013262
TUPA,Tupã,2012,663.1,636.0,592.9,7109.8,489.8940981638449
ARARAQUARA,Araraquara,2013,923.9,963.0,1045.0,1654.9,1083.9069881110129
AVARE,Avaré,2013,1044.9,1040.7,1085.6,6760.55,1187.502048819248
BAURU,Bauru,2013,897.5,953.0,967.2,825.26,1013.005455459437
BOTUCATU,Botucatu,2013,1292.5,1450.2,1531.4,3652.14,1231.3543199105823
BRAGANCA PAULISTA,Bragança Paulista,2013,1437.0,1582.3,1579.5,9264.07,1536.5084467441654
DRACENA,Dracena,2013,922.5,731.8,837.2,4052.94,737.2361685963218
FRANCA,Franca,2013,1533.2,1958.2,875.2,46563.07,1123.7554418341253
JAU,Jaú,2013,1200.7,1702.4,1302.9,6307.71,1275.269010952653
LINS,Lins,2013,1262.0,1165.9,1194.7,2043.07,1369.2204863407687
MARILIA,Marília,2013,1394.1,1541.0,1354.3,23471.55,1314.335068818165
MOGI MIRIM,Mogi Mirim,2013,770.3,693.9,698.9,2812.9,765.4099854637224
