edr_chave,edr,ano,rendimento_kg_ha,rendimento_a1,rendimento_a2,area_ha,previsto
SAO JOAO DA BOA VISTA,São João da Boa Vista,2016,1631.0,1350.0,1249.0,44639.2,1469.8170563492051
TUPA,Tupã,2016,793.0,714.0,438.0,5108.0,747.3184261183266
ARARAQUARA,Araraquara,2017,884.0,903.0,919.0,1887.0,1001.202573737373
AVARE,Avaré,2017,1331.0,1402.0,1041.0,6330.0,1132.5172674603166
BOTUCATU,Botucatu,2017,1184.0,1227.0,1189.0,3513.0,1266.7759904761904
BRAGANCA PAULISTA,Bragança Paulista,2017,1503.0,1500.0,1422.0,9048.0,1543.5000581529573
DRACENA,Dracena,2017,848.0,923.0,871.0,2610.0,970.4533269841261
FRANCA,Franca,2017,1180.0,2599.0,1018.0,60933.2,1244.0751626984122
JAU,Jaú,2017,1610.0,1837.0,1598.0,6797.3,1591.411826190476
MARILIA,Marília,2017,1408.0,1475.0,1384.0,24717.0,1445.154267460317
MOGI MIRIM,Mogi Mirim,2017,949.0,934.0,533.0,3089.5,937.6565666666663
ORLANDIA,Orlândia,2017,2039.0,1902.0,1890.0,2473.0,2018.0129468253979
OURINHOS,Ourinhos,2017,1533.0,1492.0,1504.0,16553.0,1517.0284817460322
RIBEIRAO PRETO,Ribeirão Preto,2017,1385.0,1561.0,1210.0,4961.31,1497.1775904761903
SAO JOAO DA BOA VISTA,São João da Boa Vista,2017,1467.0,1631.0,1350.0,44918.3,1499.824937301587
TUPA,Tupã,2017,1112.0,793.0,714.0,4873.6,578.696112698413
ARARAQUARA,Araraquara,2018,1092.0,884.0,903.0,1900.0,923.4851992063491
AVARE,Avaré,2018,1333.0,1331.0,1402.0,6423.0,1561.8018222222215
BOTUCATU,Botucatu,2018,1292.0,1184.0,1227.0,2878.0,1323.5775119047614
BRAGANCA PAULISTA,Bragança Paulista,2018,1530.0,1503.0,1500.0,7650.7,1467.9420365079368
DRACENA,Dracena,2018,907.0,848.0,923.0,2411.0,930.0372230158727
FRANCA,Franca,2018,2362.0,1180.0,2599.0,65509.2,2387.8711119047634
JAU,Jaú,2018,1831.0,1610.0,1837.0,6891.3,1865.7210976190468
MARILIA,Marília,2018,1421.0,1408.0,1475.0,24151.0,1502.4991158730156
MOGI MIRIM,Mogi Mirim,2018,949.0,949.0,934.0,3089.5,942.1742242424239
ORLANDIA,Orlândia,2018,2209.0,2039.0,1902.0,2403.0,2333.6231896825398
OURINHOS,Ourinhos,2018,1552.0,1533.0,1492.0,16006.0,1540.4312817460323
RIBEIRAO PRETO,Ribeirão Preto,2018,1693.0,1385.0,1561.0,4499.85,1330.7275293650791
SAO JOAO DA BOA VISTA,São João da Boa Vista,2018,1431.0,1467.0,1631.0,44624.7,1405.539408730158
TUPA,Tupã,2018,977.0,1112.0,793.0,4853.6,1060.1193797979797
ARARAQUARA,Araraquara,2019,922.0,1092.0,884.0,2007.0,1003.9838952380948
AVARE,Avaré,2019,1429.0,1333.0,1331.0,6536.0,1430.7995997835494
BOTUCATU,Botucatu,2019,1289.0,1292.0,1184.0,2574.0,1328.306391269842
BRAGANCA PAULISTA,Bragança Paulista,2019,1565.0,1530.0,1503.0,7650.0,1552.7824968253965
DRACENA,Dracena,2019,1037.0,907.0,848.0,2471.0,915.4327071428565
FRANCA,Franca,2019,1309.0,2362.0,1180.0,66733.1,1548.8603190476183
JAU,Jaú,2019,1487.0,1831.0,1610.0,6793.0,1608.950944444444
MARILIA,Marília,2019,984.0,1421.0,1408.0,20896.0,1470.6061451770445
MOGI MIRIM,Mogi Mirim,2019,970.0,949.0,949.0,1989.5,951.8003587301586
ORLANDIA,Orlândia,2019,2442.0,2209.0,2039.0,2404.96,1962.8684738095235
OURINHOS,Ourinhos,2019,1568.0,1552.0,1533.0,14588.0,1527.8972023809526
RIBEIRAO PRETO,Ribeirão Preto,2019,1705.0,1693.0,1385.0,4706.65,1614.9438896825393
SAO JOAO DA BOA VISTA,São João da Boa Vista,2019,1387.0,1431.0,1467.0,47338.0,1516.571875912976
TUPA,Tupã,2019,850.0,977.0,1112.0,4577.0,1135.6208976190474
ARARAQUARA,Araraquara,2020,1186.0,922.0,1092.0,1977.0,951.0494428571429
AVARE,Avaré,2020,1429.0,1429.0,1333.0,6438.0,1411.054115079365
BOTUCATU,Botucatu,2020,1237.0,1289.0,1292.0,2459.2,1257.3505678210681
BRAGANCA PAULISTA,Bragança Paulista,2020,1803.0,1565.0,1530.0,7750.0,1528.0869349206337
DRACENA,Dracena,2020,905.0,1037.0,907.0,2245.0,912.7367055555554
FRANCA,Franca,2020,2506.0,1309.0,2362.0,67949.0,2017.8123041847045
JAU,Jaú,2020,1847.0,1487.0,1831.0,6893.0,1768.2225478354974
MARILIA,Marília,2020,1650.0,984.0,1421.0,20361.0,1296.7955976190478
MOGI MIRIM,Mogi Mirim,2020,1079.0,970.0,949.0,1489.5,931.26239047619
ORLANDIA,Orlândia,2020,2565.0,2442.0,2209.0,2453.96,2200.355654184705
OURINHOS,Ourinhos,2020,1488.0,1568.0,1552.0,14545.0,1466.6797174603173
RIBEIRAO PRETO,Ribeirão Preto,2020,1716.0,1705.0,1693.0,5240.65,1541.6301420634923
SAO JOAO DA BOA VISTA,São João da Boa Vista,2020,1723.0,1387.0,1431.0,47714.5,1425.9722380952376
TUPA,Tupã,2020,940.0,850.0,977.0,4116.0,859.1142484126985
ARARAQUARA,Araraquara,2021,1212.0,1186.0,922.0,2026.0,1067.9308373015876
AVARE,Avaré,2021,1230.0,1429.0,1429.0,6602.0,1436.3741992063492
BOTUCATU,Botucatu,2021,1303.0,1237.0,1289.0,2244.2,1266.3880015873015
BRAGANCA PAULISTA,Bragança Paulista,2021,1585.0,1803.0,1565.0,7300.0,1557.35044004329
DRACENA,Dracena,2021,1326.0,905.0,1037.0,2275.0,949.9955531746042
FRANCA,Franca,2021,1148.0,2506.0,1309.0,68791.0,1580.5557027417024
JAU,Jaú,2021,1684.0,1847.0,1487.0,6940.0,1553.807598773449
MARILIA,Marília,2021,1223.0,1650.0,984.0,18638.0,1165.3564961038956
MOGI MIRIM,Mogi Mirim,2021,902.0,1079.0,970.0,1457.5,963.7203031746035
ORLANDIA,Orlândia,2021,2569.0,2565.0,2442.0,2453.96,2061.238125396825
OURINHOS,Ourinhos,2021,1458.0,1488.0,1568.0,13550.0,1506.1901769841281
RIBEIRAO PRETO,Ribeirão Preto,2021,1326.0,1716.0,1705.0,5040.55,1571.4248261904768
SAO JOAO DA BOA VISTA,São João da Boa Vista,2021,1152.0,1723.0,1387.0,48302.5,1549.1063995670993
