edr_chave,ano,janela,ndvi,n_cenas
JAU,2022,florada,0.3193,3
JAU,2022,enchimento,0.6214,3
JAU,2023,florada,0.3443,3
JAU,2023,enchimento,0.6403,3
JAU,2024,florada,0.422,3
JAU,2024,enchimento,0.651,3
JAU,2025,florada,0.2726,3
JAU,2025,enchimento,0.7005,3
JAU,2026,florada,0.3835,3
JAU,2026,enchimento,0.6877,3
LINS,2017,florada,,0
LINS,2017,enchimento,0.7109,3
LINS,2018,florada,0.4935,3
LINS,2018,enchimento,0.7055,3
LINS,2019,florada,0.5431,3
LINS,2019,enchimento,0.691,3
LINS,2020,florada,0.5065,3
LINS,2020,enchimento,0.7051,3
LINS,2021,florada,0.4881,3
LINS,2021,enchimento,0.6779,3
LINS,2022,florada,0.4359,3
LINS,2022,enchimento,0.6885,3
LINS,2023,florada,0.5689,3
LINS,2023,enchimento,0.7073,3
LINS,2024,florada,0.5253,3
LINS,2024,enchimento,0.6791,3
LINS,2025,florada,0.3624,3
LINS,2025,enchimento,0.6697,3
LINS,2026,florada,0.4419,3
LINS,2026,enchimento,0.7211,3
MARILIA,2017,florada,,0
MARILIA,2017,enchimento,0.7278,3
MARILIA,2018,florada,0.6229,3
MARILIA,2018,enchimento,0.7371,3
MARILIA,2019,florada,0.649,3
MARILIA,2019,enchimento,0.7238,3
MARILIA,2020,florada,0.6073,3
MARILIA,2020,enchimento,0.6987,3
MARILIA,2021,florada,0.5609,3
MARILIA,2021,enchimento,0.7117,3
MARILIA,2022,florada,0.5234,3
MARILIA,2022,enchimento,0.7118,3
MARILIA,2023,florada,0.6285,3
MARILIA,2023,enchimento,0.7284,3
MARILIA,2024,florada,0.6257,3
MARILIA,2024,enchimento,0.6985,3
MARILIA,2025,florada,0.4518,3
MARILIA,2025,enchimento,0.7058,3
MARILIA,2026,florada,0.5153,3
MARILIA,2026,enchimento,0.7321,3
ORLANDIA,2017,florada,,0
ORLANDIA,2017,enchimento,0.7131,2
ORLANDIA,2018,florada,0.3872,3
ORLANDIA,2018,enchimento,0.6633,3
ORLANDIA,2019,florada,0.4182,3
ORLANDIA,2019,enchimento,0.718,3
ORLANDIA,2020,florada,0.4354,3
ORLANDIA,2020,enchimento,0.7274,3
ORLANDIA,2021,florada,0.358,3
ORLANDIA,2021,enchimento,0.7608,3
ORLANDIA,2022,florada,0.2921,3
ORLANDIA,2022,enchimento,0.7295,3
ORLANDIA,2023,florada,0.3508,3
ORLANDIA,2023,enchimento,0.7502,3
ORLANDIA,2024,florada,0.4468,3
ORLANDIA,2024,enchimento,0.6684,3
ORLANDIA,2025,florada,0.247,3
ORLANDIA,2025,enchimento,0.6936,3
ORLANDIA,2026,florada,0.3235,3
ORLANDIA,2026,enchimento,0.7424,3
OURINHOS,2017,florada,,0
