edr_chave,edr,ano,alvo,rendimento_a1,rendimento_a2,capacidade,previsto
PRESIDENTE PRUDENTE,Presidente Prudente,1988,1478.4,1123.0,669.5,5900.0,1327.9328508920355
PRESIDENTE VENCESLAU,Presidente Venceslau,1988,1677.4,642.7,837.2,310.0,1530.6332738993358
RIBEIRAO PRETO,Ribeirão Preto,1988,2375.0,2178.8,2189.4,9450.0,2402.1674453606747
SAO JOSE DO RIO PRETO,São José do Rio Preto,1988,1714.8,1644.5,1533.0,1525.0,1812.523172488385
TUPA,Tupã,1988,1631.4,898.6,1028.4,10094.0,1221.6505175215184
ANDRADINA,Andradina,1989,1511.8,1434.9,1421.2,234.0,1683.424680537226
ARARAQUARA,Araraquara,1989,1402.3,1017.3,1224.6,3212.0,1528.2054829618166
ARACATUBA,Araçatuba,1989,1744.8,2043.4,1030.9,5693.0,1765.5349613295684
ASSIS,Assis,1989,1721.1,2120.2,1623.4,8835.0,2031.8981167945726
BARRETOS,Barretos,1989,1960.5,2148.9,1956.8,950.0,2149.009362827538
BAURU,Bauru,1989,1154.7,979.6,861.6,593.0,1500.9300957315768
CATANDUVA,Catanduva,1989,1650.3,1428.0,1231.4,1880.0,1232.3634318335373
DRACENA,Dracena,1989,1833.5,1610.3,725.7,2730.0,1512.4037330030467
GENERAL SALGADO,General Salgado,1989,1917.5,1795.1,1183.0,197.0,1821.3378491172905
JABOTICABAL,Jaboticabal,1989,2687.1,2418.4,1487.3,9201.0,2604.663589106864
LINS,Lins,1989,1160.5,1172.6,1305.2,972.0,1700.4534613365565
MARILIA,Marília,1989,1255.6,1672.7,1001.6,8020.0,1644.758539537777
ORLANDIA,Orlândia,1989,2664.5,2221.3,2338.8,665.0,1876.6144457405837
PRESIDENTE PRUDENTE,Presidente Prudente,1989,1497.5,1478.4,1123.0,3355.0,1414.0206745716898
PRESIDENTE VENCESLAU,Presidente Venceslau,1989,2343.8,1677.4,642.7,320.0,1832.2167978226314
RIBEIRAO PRETO,Ribeirão Preto,1989,2629.4,2375.0,2178.8,8349.0,2309.349701454567
SAO JOSE DO RIO PRETO,São José do Rio Preto,1989,1748.2,1714.8,1644.5,1483.0,1373.773017300839
TUPA,Tupã,1989,1488.4,1631.4,898.6,8187.0,1550.9620543144067
ANDRADINA,Andradina,1990,1176.3,1511.8,1434.9,895.0,1650.5799584687047
ARARAQUARA,Araraquara,1990,1326.0,1402.3,1017.3,3965.0,1486.61550319218
ARACATUBA,Araçatuba,1990,1661.2,1744.8,2043.4,6275.0,1680.1668679191189
ASSIS,Assis,1990,1619.9,1721.1,2120.2,5785.0,1808.1355166283504
BARRETOS,Barretos,1990,2703.3,1960.5,2148.9,990.0,2006.2963114330776
BAURU,Bauru,1990,1370.6,1154.7,979.6,517.0,1334.565872783608
CATANDUVA,Catanduva,1990,1361.1,1650.3,1428.0,1418.0,1697.7518262670003
DRACENA,Dracena,1990,1539.8,1833.5,1610.3,2703.0,1535.1490292508217
GENERAL SALGADO,General Salgado,1990,1327.1,1917.5,1795.1,256.0,1788.4971964081258
JABOTICABAL,Jaboticabal,1990,1981.3,2687.1,2418.4,10529.0,2280.019928571588
LINS,Lins,1990,1343.2,1160.5,1172.6,1730.0,1442.2109720619799
MARILIA,Marília,1990,1505.7,1255.6,1672.7,8380.0,1390.260317775878
ORLANDIA,Orlândia,1990,2568.4,2664.5,2221.3,563.0,2343.4613155936668
PRESIDENTE PRUDENTE,Presidente Prudente,1990,1587.7,1497.5,1478.4,2865.0,1594.1111537557608
PRESIDENTE VENCESLAU,Presidente Venceslau,1990,3000.0,2343.8,1677.4,400.0,1979.9735742025634
RIBEIRAO PRETO,Ribeirão Preto,1990,2449.8,2629.4,2375.0,9218.0,2265.330739573303
SAO JOSE DO RIO PRETO,São José do Rio Preto,1990,1881.8,1748.2,1714.8,1980.0,1646.660842676746
TUPA,Tupã,1990,1603.1,1488.4,1631.4,8212.0,1263.1487477615424
ANDRADINA,Andradina,1991,2096.5,1176.3,1511.8,403.0,1566.048527400922
ARARAQUARA,Araraquara,1991,2017.8,1326.0,1402.3,5827.0,1419.1938358076163
ARACATUBA,Araçatuba,1991,1900.1,1661.2,1744.8,6078.0,1636.5177932027825
ASSIS,Assis,1991,1683.5,1619.9,1721.1,6880.0,1891.1460108052459
BARRETOS,Barretos,1991,2442.2,2703.3,1960.5,1387.0,2645.6426691865227
BAURU,Bauru,1991,1372.8,1370.6,1154.7,519.0,1618.9547608948344
CATANDUVA,Catanduva,1991,1614.2,1361.1,1650.3,1941.0,1720.3645873057478
DRACENA,Dracena,1991,1626.8,1539.8,1833.5,2511.0,1916.8040354704344
GENERAL SALGADO,General Salgado,1991,1624.5,1327.1,1917.5,253.0,1677.6135162562236
JABOTICABAL,Jaboticabal,1991,2127.3,1981.3,2687.1,12404.0,1959.9393044616259
LINS,Lins,1991,1302.2,1343.2,1160.5,2060.0,1524.0836812639805
MARILIA,Marília,1991,1534.4,1505.7,1255.6,6628.0,1527.5116626284137
ORLANDIA,Orlândia,1991,2468.6,2568.4,2664.5,2224.0,1970.8159189463643
PRESIDENTE PRUDENTE,Presidente Prudente,1991,1722.8,1587.7,1497.5,4565.0,1558.372708571821
