edr_chave,edr,ano,alvo,rendimento_a1,rendimento_a2,capacidade,previsto
RIBEIRAO PRETO,Ribeirão Preto,1987,1.6279,1.5893,1.7237,2398900.0,1.7455826781472936
SOROCABA,Sorocaba,1987,2.4405,2.281,2.8269,1428000.0,2.1977468303123504
SAO JOSE DO RIO PRETO,São José do Rio Preto,1987,2.3251,2.0646,2.5527,7351190.0,2.323187578539904
SAO JOAO DA BOA VISTA,São João da Boa Vista,1987,2.914,1.8664,2.2557,4127928.0,1.974224290212141
VOTUPORANGA,Votuporanga,1987,2.2707,1.5682,1.7131,569000.0,1.7385503359682906
ARARAQUARA,Araraquara,1988,1.4632,1.456,1.4426,14802000.0,1.5484589110546187
AVARE,Avaré,1988,2.2956,1.7727,1.7948,190650.0,1.6957088416245951
BARRETOS,Barretos,1988,1.6992,1.8236,1.7661,33478461.0,1.863790885600234
BAURU,Bauru,1988,2.1422,2.3608,2.371,217212.0,1.7471112440169188
BOTUCATU,Botucatu,1988,2.5882,2.0423,1.6479,68000.0,2.0130269395045826
CATANDUVA,Catanduva,1988,1.9737,2.3733,1.9862,12029000.0,2.256788663071352
FERNANDOPOLIS,Fernandópolis,1988,1.9005,2.2123,2.0884,1060050.0,2.0151040225593033
FRANCA,Franca,1988,2.7,2.5,2.5,50000.0,2.508036814586761
GENERAL SALGADO,General Salgado,1988,2.873,2.8653,2.1444,891357.0,2.3654104116651693
ITAPETININGA,Itapetininga,1988,2.4015,2.4104,2.7682,577840.0,2.3819953526136013
ITAPEVA,Itapeva,1988,2.8655,2.7365,2.3935,252800.0,2.570620242683355
JABOTICABAL,Jaboticabal,1988,1.7959,1.756,1.3862,18493261.0,2.1108767220153775
JALES,Jales,1988,2.6849,2.376,1.7663,722531.0,2.1793418058488543
JAU,Jaú,1988,1.8307,1.916,2.3911,1084325.0,2.2644251312494883
LIMEIRA,Limeira,1988,1.9069,1.9791,1.9002,11720551.0,2.0047700758853053
LINS,Lins,1988,2.2167,2.3488,2.2395,358112.0,2.4505883008672145
MOGI MIRIM,Mogi Mirim,1988,2.572,2.2528,2.2161,13013000.0,2.2463279477721456
OURINHOS,Ourinhos,1988,1.747,1.9263,1.2185,63790.0,1.9966730408153204
PIRACICABA,Piracicaba,1988,1.8274,1.6284,1.7177,845900.0,1.6730885075256186
RIBEIRAO PRETO,Ribeirão Preto,1988,1.5869,1.6279,1.5893,2404900.0,1.643495918410801
SOROCABA,Sorocaba,1988,2.5155,2.4405,2.281,1228000.0,2.589127199572605
SAO JOSE DO RIO PRETO,São José do Rio Preto,1988,2.3576,2.3251,2.0646,8274780.0,2.2311623514193775
SAO JOAO DA BOA VISTA,São João da Boa Vista,1988,2.9186,2.914,1.8664,4314494.0,2.1786522037534772
VOTUPORANGA,Votuporanga,1988,1.8063,2.2707,1.5682,573000.0,2.0899596441306554
ARARAQUARA,Araraquara,1989,1.653,1.4632,1.456,15656892.0,1.456051644964627
AVARE,Avaré,1989,1.7911,2.2956,1.7727,246500.0,2.62797803276861
BARRETOS,Barretos,1989,2.1633,1.6992,1.8236,34939776.0,1.7486181060267794
BAURU,Bauru,1989,2.3116,2.1422,2.3608,326730.0,1.949530291880935
BOTUCATU,Botucatu,1989,2.5662,2.5882,2.0423,74000.0,2.691941447786368
CATANDUVA,Catanduva,1989,2.1091,1.9737,2.3733,13461000.0,2.1942189293286622
FERNANDOPOLIS,Fernandópolis,1989,2.4275,1.9005,2.2123,1387000.0,1.9505866779699215
FRANCA,Franca,1989,2.5536,2.7,2.5,56000.0,2.554511652329789
GENERAL SALGADO,General Salgado,1989,2.2505,2.873,2.8653,1118257.0,2.614927243562297
ITAPETININGA,Itapetininga,1989,2.8863,2.4015,2.4104,614840.0,2.3506235897134937
ITAPEVA,Itapeva,1989,2.781,2.8655,2.7365,264800.0,2.6186847411386895
JABOTICABAL,Jaboticabal,1989,2.0587,1.7959,1.756,18784161.0,1.6788644123430707
JALES,Jales,1989,2.8788,2.6849,2.376,823404.0,2.460311811416713
JAU,Jaú,1989,1.5326,1.8307,1.916,2127745.0,1.8338514349864798
LIMEIRA,Limeira,1989,2.1756,1.9069,1.9791,11981500.0,1.909184943452799
LINS,Lins,1989,2.4564,2.2167,2.3488,447656.0,2.364323616424141
MOGI MIRIM,Mogi Mirim,1989,2.4964,2.572,2.2528,15511000.0,2.1993109383458593
OURINHOS,Ourinhos,1989,1.7547,1.747,1.9263,65790.0,1.7838553157046297
PIRACICABA,Piracicaba,1989,1.8198,1.8274,1.6284,840100.0,1.6654577545420393
RIBEIRAO PRETO,Ribeirão Preto,1989,1.5797,1.5869,1.6279,2454900.0,1.5433645293912468
SOROCABA,Sorocaba,1989,2.7426,2.5155,2.4405,1368200.0,2.515871898579182
SAO JOSE DO RIO PRETO,São José do Rio Preto,1989,2.3785,2.3576,2.3251,8845716.0,2.2089749459313066
SAO JOAO DA BOA VISTA,São João da Boa Vista,1989,2.7144,2.9186,2.914,4328824.0,2.730302631282539
VOTUPORANGA,Votuporanga,1989,2.109,1.8063,2.2707,587000.0,1.92982917094235
ARARAQUARA,Araraquara,1990,1.6455,1.653,1.4632,16622000.0,1.6703226198505057
AVARE,Avaré,1990,1.71,1.7911,2.2956,269000.0,1.8548593575471874
BARRETOS,Barretos,1990,1.8315,2.1633,1.6992,36404776.0,2.194553320751867
BAURU,Bauru,1990,2.2958,2.3116,2.1422,503040.0,1.92823633972173
BOTUCATU,Botucatu,1990,2.5099,2.5662,2.5882,90850.0,2.5659789974772584
CATANDUVA,Catanduva,1990,1.969,2.1091,1.9737,14431000.0,2.0151854879662183
FERNANDOPOLIS,Fernandópolis,1990,2.4874,2.4275,1.9005,1588000.0,2.3647197999605067
FRANCA,Franca,1990,2.3521,2.5536,2.7,71000.0,2.775703107048759
GENERAL SALGADO,General Salgado,1990,2.2934,2.2505,2.873,1264757.0,2.4062301305048077
ITAPETININGA,Itapetininga,1990,2.4282,2.8863,2.4015,689000.0,2.4656173233297713
ITAPEVA,Itapeva,1990,2.3441,2.781,2.8655,310966.0,2.867856530848757
JABOTICABAL,Jaboticabal,1990,1.9679,2.0587,1.7959,19381100.0,2.047820043297703
JALES,Jales,1990,2.5689,2.8788,2.6849,1161500.0,2.703734744639113
JAU,Jaú,1990,1.6766,1.5326,1.8307,2196745.0,1.977557131303993
LIMEIRA,Limeira,1990,2.0142,2.1756,1.9069,10097500.0,2.031941168288211
LINS,Lins,1990,2.0181,2.4564,2.2167,611944.0,2.4136540694283113
MOGI MIRIM,Mogi Mirim,1990,2.5241,2.4964,2.572,16600000.0,2.5314153667218924
OURINHOS,Ourinhos,1990,1.7324,1.7547,1.747,67790.0,1.803436074260515
PIRACICABA,Piracicaba,1990,1.6747,1.8198,1.8274,871400.0,1.8375281348996406
RIBEIRAO PRETO,Ribeirão Preto,1990,1.5941,1.5797,1.5869,2815800.0,1.601023010562419
SOROCABA,Sorocaba,1990,2.674,2.7426,2.5155,1337500.0,2.538643505746883
SAO JOSE DO RIO PRETO,São José do Rio Preto,1990,2.2893,2.3785,2.3576,10239671.0,2.2920439912886996
SAO JOAO DA BOA VISTA,São João da Boa Vista,1990,2.7114,2.7144,2.9186,4411027.0,2.6212519108710035
VOTUPORANGA,Votuporanga,1990,2.2006,2.109,1.8063,600800.0,2.1167534283995266
ARARAQUARA,Araraquara,1991,1.7938,1.6455,1.653,18852000.0,1.6765595603388888
AVARE,Avaré,1991,1.3256,1.71,1.7911,301000.0,1.7945166702392237
BARRETOS,Barretos,1991,1.9227,1.8315,2.1633,37005260.0,1.8157066035017424
BAURU,Bauru,1991,2.2026,2.2958,2.3116,483188.0,2.3948085877640963
BOTUCATU,Botucatu,1991,2.4671,2.5099,2.5662,122850.0,2.275645175378329
CATANDUVA,Catanduva,1991,1.9664,1.969,2.1091,15416000.0,2.0384866074855017
FERNANDOPOLIS,Fernandópolis,1991,2.544,2.4874,2.4275,2252000.0,2.429957698983623
FRANCA,Franca,1991,2.0,2.3521,2.5536,78000.0,2.450136203347302
GENERAL SALGADO,General Salgado,1991,2.2198,2.2934,2.2505,1686548.0,2.2506494638899497
ITAPETININGA,Itapetininga,1991,2.2665,2.4282,2.8863,514122.0,2.3695480124881674
ITAPEVA,Itapeva,1991,3.2508,2.3441,2.781,298966.0,2.302702866812857
JABOTICABAL,Jaboticabal,1991,2.0556,1.9679,2.0587,19637700.0,1.9121756849956402
JALES,Jales,1991,2.569,2.5689,2.8788,1675000.0,2.471449500385583
JAU,Jaú,1991,1.7168,1.6766,1.5326,2517153.0,1.794315677263376
LIMEIRA,Limeira,1991,1.9945,2.0142,2.1756,12511500.0,2.1544380075264398
LINS,Lins,1991,2.0704,2.0181,2.4564,639366.0,2.2685300099738206
MOGI MIRIM,Mogi Mirim,1991,2.4667,2.5241,2.4964,18000000.0,2.3780062261730777
OURINHOS,Ourinhos,1991,1.7464,1.7324,1.7547,67590.0,1.94936721038988
PIRACICABA,Piracicaba,1991,1.8024,1.6747,1.8198,948900.0,2.0985690515529245
RIBEIRAO PRETO,Ribeirão Preto,1991,1.5909,1.5941,1.5797,3355800.0,1.5942130114823945
SOROCABA,Sorocaba,1991,2.835,2.674,2.7426,1665800.0,2.5919418606532054
SAO JOSE DO RIO PRETO,São José do Rio Preto,1991,2.2955,2.2893,2.3785,10848852.0,2.2889540332806955
SAO JOAO DA BOA VISTA,São João da Boa Vista,1991,2.6956,2.7114,2.7144,4543299.0,2.679267246765245
VOTUPORANGA,Votuporanga,1991,2.0111,2.2006,2.109,923500.0,2.068885542350514
ARARAQUARA,Araraquara,1992,1.8159,1.7938,1.6455,18600000.0,1.7083929444094903
AVARE,Avaré,1992,1.6979,1.3256,1.71,309500.0,1.7609411802061932
BARRETOS,Barretos,1992,1.9113,1.9227,1.8315,37964483.0,1.6684560657655394
BAURU,Bauru,1992,2.4154,2.2026,2.2958,647240.0,2.2775107631934177
BOTUCATU,Botucatu,1992,1.5364,2.4671,2.5099,240850.0,2.4914377430827277
CATANDUVA,Catanduva,1992,2.1969,1.9664,1.969,16646000.0,1.9535303355598121
FERNANDOPOLIS,Fernandópolis,1992,2.4944,2.544,2.4874,2689000.0,2.521518194767416
FRANCA,Franca,1992,1.1954,2.0,2.3521,435000.0,2.0148016560796274
GENERAL SALGADO,General Salgado,1992,2.3855,2.2198,2.2934,2034202.0,2.427268241980737
ITAPETININGA,Itapetininga,1992,2.3711,2.2665,2.4282,854122.0,2.1642259829715695
ITAPEVA,Itapeva,1992,2.897,3.2508,2.3441,300966.0,2.354591485729468
JABOTICABAL,Jaboticabal,1992,2.1543,2.0556,1.9679,19407700.0,1.973395929861571
JALES,Jales,1992,2.5809,2.569,2.5689,2293000.0,2.5975721023842104
JAU,Jaú,1992,1.6978,1.7168,1.6766,3316245.0,1.908538686857123
LIMEIRA,Limeira,1992,2.0344,1.9945,2.0142,12061500.0,2.0075247329071977
LINS,Lins,1992,2.3431,2.0704,2.0181,723907.0,2.180395882510603
MOGI MIRIM,Mogi Mirim,1992,2.5259,2.4667,2.5241,17930000.0,2.3950378389929745
OURINHOS,Ourinhos,1992,1.7246,1.7464,1.7324,60240.0,1.9422603178991318
PIRACICABA,Piracicaba,1992,1.8635,1.8024,1.6747,853400.0,1.8546845540246457
RIBEIRAO PRETO,Ribeirão Preto,1992,1.5834,1.5909,1.5941,3102200.0,1.6029883586292761
SOROCABA,Sorocaba,1992,2.9044,2.835,2.674,1339000.0,2.6861496967110674
SAO JOSE DO RIO PRETO,São José do Rio Preto,1992,2.2302,2.2955,2.2893,12086000.0,2.14593577014729
SAO JOAO DA BOA VISTA,São João da Boa Vista,1992,2.6283,2.6956,2.7114,4653999.0,2.6841590351639693
VOTUPORANGA,Votuporanga,1992,2.2037,2.0111,2.2006,1188050.0,2.212916291092914
ARARAQUARA,Araraquara,1993,1.8924,1.8159,1.7938,17595000.0,1.7682074895137683
AVARE,Avaré,1993,1.6531,1.6979,1.3256,344500.0,1.8127582954068657
BARRETOS,Barretos,1993,1.7956,1.9113,1.9227,38749483.0,1.941469616745392
BAURU,Bauru,1993,2.2944,2.4154,2.2026,835333.0,2.2744668597630775
BOTUCATU,Botucatu,1993,1.444,1.5364,2.4671,755374.0,1.8580178096878488
CATANDUVA,Catanduva,1993,2.1745,2.1969,1.9664,17636000.0,2.0332642383044273
FERNANDOPOLIS,Fernandópolis,1993,2.4828,2.4944,2.544,2910000.0,2.475316995650826
FRANCA,Franca,1993,0.962,1.1954,2.0,736000.0,1.8676635581431391
GENERAL SALGADO,General Salgado,1993,2.4082,2.3855,2.2198,2449754.0,2.341297615551235
ITAPETININGA,Itapetininga,1993,1.6637,2.3711,2.2665,1757816.0,1.901050879754728
ITAPEVA,Itapeva,1993,2.5369,2.897,3.2508,370419.0,2.3214826385001976
JABOTICABAL,Jaboticabal,1993,2.1066,2.1543,2.0556,19729700.0,2.0054784381216337
JALES,Jales,1993,2.4722,2.5809,2.569,2725500.0,2.5092652309615464
JAU,Jaú,1993,2.0834,1.6978,1.7168,3595000.0,1.9076211647645307
LIMEIRA,Limeira,1993,1.9008,2.0344,1.9945,12002000.0,2.1702810852733405
LINS,Lins,1993,1.8521,2.3431,2.0704,927087.0,2.3890631334828725
MOGI MIRIM,Mogi Mirim,1993,2.2706,2.5259,2.4667,18530157.0,2.3435284581946454
OURINHOS,Ourinhos,1993,1.9667,1.7246,1.7464,332940.0,1.7781518486278944
